identifier,logFC,logCPM,p-Value,FDR
RPS25,-0.734717249,8.654674145,0.029,0.343912501
AP1B1P1,3.577564787,-3.307054821,0.029,0.344008042
COL12A1,0.623487272,5.24824807,0.029,0.344008042
ATF4,-0.63644772,8.73751535,0.029,0.344008042
GAP43,1.479876403,-1.426967423,0.029,0.344048419
ACKR2,1.009155458,-1.390978827,0.029,0.344048419
SLMO2-ATP5E,-0.822072472,6.055995294,0.029,0.344048419
ARHGEF9-IT1,4.285032829,-4.246379815,0.029,0.344048419
GTF3A,-0.766367456,7.120941453,0.029,0.344048419
CDC26,-0.71237936,3.474898178,0.029,0.344086998
TIMMDC1,-0.657834374,5.754042975,0.029,0.344761694
LSM1,-0.58375521,3.91263364,0.029,0.344841329
TRIM59,1.633307845,-1.261887958,0.029,0.345329402
CDR2,0.917822217,3.022776491,0.029,0.345329402
CPT1A,0.646670783,4.335462529,0.03,0.34570914
GINS4,1.23715055,-0.123335153,0.03,0.34570914
LOC102546299,3.722101908,-4.113644113,0.03,0.34570914
TRH,3.053404308,-3.4702016,0.03,0.34570914
LINC00942,2.385496722,-1.715285503,0.03,0.34575497
ARHGAP11A,-1.125595683,1.266015866,0.03,0.34575497
NMBR,3.320008137,-2.965779653,0.03,0.34575497
PRC1,1.094754359,1.461014628,0.03,0.345904218
SERF2,-0.644590659,7.678014463,0.03,0.345904218
MC5R,3.319721888,-3.041078637,0.03,0.346001711
COX11,-0.519641973,5.309071127,0.03,0.34610094
EFHC2,2.074467088,-2.028690407,0.03,0.346588712
PLVAP,0.855134368,4.719749064,0.03,0.347323588
FCGR1A,1.722347724,-1.728125987,0.03,0.347323588
GCG,3.953899376,-3.359756911,0.03,0.347409865
OR2G3,3.272462847,-3.627227948,0.03,0.347409865
SNAPIN,-0.6456222,4.684562798,0.03,0.348143853
WBSCR28,3.019059029,-3.178239394,0.03,0.348143853
PDCL3,-0.665790338,3.909555037,0.03,0.348180015
FLJ40194,3.177181463,-3.784032916,0.03,0.348897295
LOC407835,-0.919784939,1.058292593,0.03,0.349140682
CT45A4,3.466644009,-1.606517586,0.03,0.349140682
CCHCR1,-0.97752572,5.218028257,0.03,0.349492427
UCHL3,-0.690674013,3.099542294,0.03,0.349536017
MEP1B,2.207889874,-3.1157028,0.03,0.349639868
NPIPB6,1.594444993,-0.458309141,0.03,0.349676756
LOC101926940,2.038073916,-2.773534144,0.03,0.349676756
LINC00959,-0.659190216,1.635227469,0.03,0.349790775
LINC01180,2.615182843,-3.164160408,0.031,0.350234036
DNAJC5G,2.775014656,-2.789407123,0.031,0.350234036
FZD10,0.890345798,0.729630602,0.031,0.350234036
NDUFB8,-0.757552519,7.274688248,0.031,0.350234036
ERCC1,-0.598064082,5.487349165,0.031,0.350234036
LOC389641,1.560937199,-1.703415104,0.031,0.350262244
RPS14,-0.797241254,9.381280943,0.031,0.350633297
ARPC5L,-0.748240982,5.548990898,0.031,0.350649811
DOCK10,0.856107472,1.00208297,0.031,0.351354506
LOC101928809,2.728631021,-3.506060284,0.031,0.352005721
PLEKHA5,0.979309228,1.63487277,0.031,0.352005721
LINC00449,1.783375325,-3.023940327,0.031,0.352192065
TFAP2B,2.996299982,-1.533784717,0.031,0.352192065
MIR503HG,1.88777081,-1.250570642,0.031,0.352192065
XG,0.978057697,1.372269106,0.031,0.35244878
CXCL3,2.067368712,0.043867639,0.031,0.35247489
CSTL1,3.230395106,-3.616910793,0.031,0.352707997
LOC101928161,2.852776276,-3.887736577,0.031,0.352996798
COX6B1,-0.759034557,7.48897292,0.031,0.353091793
CA8,0.901013299,1.972512349,0.031,0.353151554
IL1R1,0.778579485,3.733648156,0.031,0.353151554
LINC00619,2.2564564,-2.972417749,0.031,0.353151554
GAGE1,3.728203514,-3.252928379,0.031,0.354196201
NDUFA4,-1.014820277,8.158353507,0.031,0.355753805
LINC01549,3.475663988,-4.159303837,0.031,0.355753805
CCL16,2.447997931,-2.198958233,0.032,0.35599684
ERN2,2.072020214,-1.994187246,0.032,0.356414921
ALLC,2.52772362,-3.323255624,0.032,0.356994008
CCDC43,-0.545663101,5.094556355,0.032,0.356994008
FAM81B,2.455103602,-3.463077934,0.032,0.356994008
MT2A,1.129429344,5.729026274,0.032,0.356994008
S100B,1.339566369,0.960483871,0.032,0.356994008
ZSCAN12,0.753524839,0.330557163,0.032,0.356994008
CABP5,2.817069384,-2.817163977,0.032,0.357142474
VAV3,0.813128999,-0.126401888,0.032,0.35731624
IKZF3,1.299172864,0.155135371,0.032,0.358050171
DEFB118,2.754015515,-3.053885938,0.032,0.358050171
DGCR6,-0.870802427,7.168094135,0.032,0.358070797
LOC105371795,-1.150684128,5.449037175,0.032,0.358148491
SLC28A3,2.241671612,-2.153603843,0.032,0.358148491
LOC100129518,1.083187122,-1.200694195,0.032,0.358148491
ZNF503,0.78422755,3.182858702,0.032,0.358148491
JTB,-0.640173037,6.352055507,0.032,0.359160153
LY9,1.743782589,-1.862198887,0.032,0.35954868
MGC27345,0.748418075,1.96904659,0.032,0.35954868
MX2,0.92099342,1.511846715,0.032,0.35954868
LOC400002,3.334434376,-1.587357002,0.032,0.35954868
UGGT2,0.874726715,1.412480364,0.032,0.359649156
NDUFA2,-0.761376742,5.728167921,0.032,0.359896378
MFAP5,1.335095548,5.095994857,0.032,0.359931625
ITGAM,0.703350926,2.961938524,0.033,0.360830863
XKR4,1.916541398,-1.578434539,0.033,0.360830863
LINC01030,3.697951326,-3.986917196,0.033,0.360830863
EBAG9,-0.560663359,4.160150653,0.033,0.361145379
MAGEB5,4.612398573,-4.130691659,0.033,0.361410318
TMEM150A,-0.570101939,4.356120241,0.033,0.361410318
LOC101927653,1.73727873,-2.248521577,0.033,0.361410318
EMC7,-0.541286161,4.633364923,0.033,0.361410318
SIK1,1.172628699,3.785309104,0.033,0.361410318
EMB,0.947504193,1.384936909,0.033,0.361410318
DUXA,3.011932493,-1.459714135,0.033,0.361410318
MIR3663HG,3.683504474,-2.67520814,0.033,0.361410318
SPATA42,2.358385416,-2.938614091,0.033,0.361410318
TNFRSF12A,1.436170217,4.753918292,0.033,0.361724794
LOC100507195,2.528596829,-3.222224046,0.033,0.361915876
FAM78A,-0.643756238,5.760592453,0.033,0.361915876
TENM2,1.077740723,-0.248171326,0.033,0.362183819
LOC102724428,1.170873667,3.786053932,0.033,0.362183819
TRABD2A,1.504814134,-1.043697802,0.033,0.362183819
TPTE2P3,1.865218318,-2.394549268,0.033,0.362183819
RASAL1,2.182961559,-2.201243031,0.033,0.362183819
ITPRIP,0.795339817,3.398610394,0.033,0.362183819
ADGRG6,0.80231024,0.933017226,0.033,0.362183819
VSIG4,0.921771519,1.854090534,0.033,0.362183819
ADRBK2,0.914936541,1.860794807,0.033,0.362183819
TRIM49C,3.258283902,-2.694276971,0.033,0.362183819
HOXC5,-0.838798411,2.077433675,0.033,0.362183819
CMAHP,1.33084129,1.444088923,0.033,0.362183819
RPSAP58,-0.742751063,6.024250678,0.033,0.362258487
OR7G3,3.248455991,-3.548881555,0.033,0.362683498
LOC100288069,0.79080633,0.44883902,0.033,0.363104079
KRT9,3.232412358,-2.728003606,0.033,0.364148901
ARL6IP1,0.922131393,4.806440519,0.034,0.364724131
LINC00635,3.37243571,-3.416121937,0.034,0.364724131
GPC3,0.881118408,2.626908025,0.034,0.365306723
SNX21,-0.81201116,6.248769675,0.034,0.365306723
RIN2,0.534046438,3.819176213,0.034,0.365601681
MYHAS,-0.869378618,6.02876207,0.034,0.365601681
POTEE,-1.405326666,2.268292471,0.034,0.365601681
CLEC2A,3.515465149,-3.583830689,0.034,0.365601681
ATP1A3,1.455053395,-1.723355127,0.034,0.365601681
LOC105371267,2.807180062,-3.761061864,0.034,0.365601681
LINC00696,2.860925629,-2.222598011,0.034,0.365601681
BEND2,2.546795703,-1.962182588,0.034,0.365601681
SPECC1,0.663983404,2.661942894,0.034,0.365601681
ECM1,0.736065221,2.526142312,0.034,0.365601681
TSPAN1,1.101788815,-1.370089504,0.034,0.365681782
FAM86JP,-0.926977903,1.001900356,0.034,0.365681782
P2RX7,0.987579789,0.519929294,0.034,0.365681782
TMEM106A,0.712737009,0.764568468,0.034,0.365681782
PTPRH,1.5047626,-1.139276512,0.034,0.365854531
EIF3K,-0.720991427,7.751725574,0.034,0.366429216
SYK,0.651881889,1.655078938,0.034,0.366803429
AGR3,4.098394903,-4.270961742,0.034,0.366829132
LINC00396,3.502781646,-4.091764688,0.034,0.366829132
MR1,0.7024692,1.326000252,0.034,0.366829132
SLC9A2,-0.724054176,2.69254306,0.034,0.36712754
GSTZ1,-0.803853424,4.687230652,0.034,0.36712754
DEFB1,2.59397467,-2.523132123,0.034,0.36712754
LOC101928370,1.439562303,-0.806742512,0.034,0.36712754
CALD1,0.779182616,6.849529087,0.034,0.36739262
LINC01351,3.309227448,-3.454342295,0.034,0.367765568
BICD1,0.924084782,0.939438437,0.034,0.367961514
FAM231D,1.116567433,0.575032248,0.034,0.367961514
SFRP5,1.707841074,-0.031368969,0.035,0.368251836
EFNA1,0.642603775,2.881663724,0.035,0.368459339
LOC101929054,1.728501355,-2.034236673,0.035,0.368459339
METTL21A,-0.721648839,3.945517598,0.035,0.368459339
HOXB5,1.491025152,-1.204327814,0.035,0.368459339
RYR2,1.050176748,0.5049798,0.035,0.369335032
TCEA3,-0.74702841,8.868869853,0.035,0.369335032
GOLGA8F,2.32804243,-0.027641904,0.035,0.369335032
ARL6IP6,-0.767305868,3.845518294,0.035,0.369406219
LOC105369891,3.380679144,-3.702778199,0.035,0.369415217
FAM185A,-0.654861789,3.258030393,0.035,0.370270381
CCDC124,-0.655693206,6.344383945,0.035,0.370270381
LOC100499194,2.825250678,-2.746907534,0.035,0.370270381
KDM6A,0.631668535,4.023771925,0.035,0.370556374
LONRF1,-0.509512319,4.63570582,0.035,0.371856454
ADRA2A,1.027399576,2.279254957,0.035,0.371856454
FAM210B,-0.585369631,6.072352552,0.035,0.371856454
TRIM31,2.556633346,-3.5153254,0.035,0.371892352
RAB39B,2.444096417,-2.180481341,0.035,0.371965906
KIAA0513,-0.755768261,3.905597542,0.035,0.372130591
IQUB,1.682972401,-1.644511012,0.035,0.372428235
TLL1,1.031510466,0.019038642,0.035,0.372428235
LRRC15,1.316143956,0.653546142,0.035,0.372628364
LOC284294,3.292331864,-3.281345832,0.035,0.372650638
NQO1,-0.931859187,3.416265413,0.035,0.3728743
RMST,2.531403273,-3.444417264,0.036,0.372987578
C12orf57,-0.6363411,5.988332616,0.036,0.372987578
SIRT1,0.707939017,4.432308642,0.036,0.372987578
PDGFC,0.64294888,2.403275654,0.036,0.372987578
PPIAL4C,1.820717762,-1.744282049,0.036,0.372987578
PPIAL4A,1.82071783,-1.744282049,0.036,0.372987578
C18orf61,2.65211721,-2.352706354,0.036,0.374093597
LOC283194,2.757381285,-2.283336445,0.036,0.374093597
RPS23,-0.588374164,9.098887122,0.036,0.374093597
IFNLR1,-0.652586238,2.558151721,0.036,0.374093597
GOLGA8G,2.307966049,0.095646925,0.036,0.374093597
LY6G6F,3.354481438,-3.810983682,0.036,0.374656856
LINC00671,1.452141707,-1.952774173,0.036,0.374656856
RPL23A,-0.672264961,8.750506127,0.036,0.374656856
LOC101929726,1.473345464,-1.892737031,0.036,0.374656856
OR10Q1,2.609834985,-3.108693658,0.036,0.374815824
RNF7,-0.564159602,5.494419892,0.036,0.374815824
SMCP,3.06004123,-3.916962924,0.036,0.374815824
NCK2,-0.599688821,5.925102451,0.036,0.374815824
RNF148,2.998140721,-3.672087562,0.036,0.374815824
MIR17HG,1.304384835,-0.685704397,0.036,0.374815824
LINC00479,3.086982749,-2.519145052,0.036,0.374815824
LINC00551,2.71838482,-3.755301975,0.036,0.374815824
SIRT4,-0.625266165,1.857025586,0.036,0.374815824
HERC5,0.750069624,1.150606388,0.036,0.374815824
ZNF738,0.871685519,0.861939088,0.036,0.374815824
LINC01209,3.011994591,-3.199750907,0.036,0.374815824
TOB2P1,1.152366972,-0.476897397,0.036,0.374815824
ESPL1,1.492012136,-1.082080122,0.036,0.374815824
LINC00116,-0.871355077,6.372237602,0.036,0.374815824
HK1,-0.537279134,7.190518833,0.036,0.375429164
LBP,1.602723573,0.081581576,0.037,0.375949059
LOC105369632,2.028004364,-1.269455277,0.037,0.375949059
VIM,0.751040745,8.476678029,0.037,0.375949059
DSEL,0.694520567,2.036894969,0.037,0.375949059
POTEJ,-1.326688536,2.452646226,0.037,0.375949059
USP44,1.780540134,-1.718580184,0.037,0.375949059
LOC101927415,1.341767334,-1.234542837,0.037,0.375949059
HSPH1,0.994011723,5.053856862,0.037,0.375949059
ENPP7P13,2.829377245,-1.913459016,0.037,0.37598973
TNFAIP3,1.057398212,3.631743756,0.037,0.376447749
BHLHE41,-0.734352719,6.216549352,0.037,0.376622311
ETV7,1.697897173,-1.699685811,0.037,0.376622311
KCNQ4,0.776908477,2.530558497,0.037,0.376622311
LOC100287792,2.995166265,-3.071430784,0.037,0.376713664
LOC101929511,1.533600867,-1.181747246,0.037,0.376713664
MROH5,1.170043462,2.11492092,0.037,0.376941508
OAZ3,-0.614024712,2.954528604,0.037,0.376941508
PPP1R15A,1.228798388,7.050238588,0.037,0.376941508
IDI2,-0.710059503,6.907077677,0.037,0.376941508
CYB561A3,-0.520834835,4.585543931,0.037,0.376941508
ARMC4,1.873540481,-2.013892767,0.037,0.376941508
BHMT2,-0.702552693,3.328181353,0.037,0.376941508
NETO2,-0.660708813,1.515948361,0.037,0.376941508
SUCNR1,2.234181948,-2.78419228,0.037,0.376941508
SSU72,-0.76440854,7.112214285,0.037,0.376941508
LOC399886,2.78387987,-3.024243058,0.037,0.376941508
DISC1,0.720255967,0.927524159,0.037,0.376941508
STAMBP,-0.486805691,4.424191055,0.037,0.378591375
NLGN1,1.63151437,-1.690272595,0.037,0.378591375
HAX1,-0.592527173,6.710325916,0.037,0.378901646
TNRC18P1,1.905774878,-2.784710737,0.037,0.378949017
AKR1B1,-0.641593593,7.483563251,0.037,0.379192666
ULK4P3,1.099140015,-0.297511474,0.038,0.379338153
C1QTNF3,0.784578627,2.136245687,0.038,0.379338153
CT47A7,4.140265286,-4.387267803,0.038,0.379338153
WBSCR22,-0.530862365,5.443831952,0.038,0.379338153
HCAR1,1.754785734,-1.919057657,0.038,0.379338153
RGL1,0.614765537,2.936659015,0.038,0.379914871
LINC01606,1.72754187,-1.93220262,0.038,0.379949809
CLPS,3.141878483,-3.855602695,0.038,0.381261621
DUPD1,-0.820399995,4.675862841,0.038,0.381261621
SSX1,3.088884006,-3.680521511,0.038,0.381261621
GSTK1,-0.554823905,6.250964046,0.038,0.381503023
SPRY4,0.869374795,3.482471321,0.038,0.381518601
NUDCD2,-0.546061201,3.327224703,0.038,0.381723719
RECK,0.761588143,2.867486386,0.038,0.381723719
NOL4L,0.711981431,1.886486833,0.038,0.381723719
PCBP4,-0.628691208,6.722829992,0.038,0.381723719
CNTNAP2,2.412834958,-1.104799998,0.038,0.381723719
KCNE1,2.249720404,-2.376907466,0.038,0.381723719
LOC400541,0.929262829,-0.676670858,0.038,0.381723719
LINC00261,2.998875139,-1.803111398,0.038,0.381723719
C9orf173,1.760304339,-1.310402826,0.038,0.381723719
MRPL48,-0.637861795,3.394898194,0.038,0.381723719
POM121L9P,1.034981584,-0.155783515,0.038,0.381723719
MKRN2OS,1.213303069,-1.015892024,0.038,0.381723719
RALY,-0.535121861,6.712896807,0.038,0.381723719
ESM1,1.244297953,-1.146762521,0.038,0.381723719
EID1,-0.610041824,7.673664872,0.038,0.382083214
NUDT6,-0.571252904,2.147295098,0.038,0.382083214
HINT3,-0.667157631,6.963435441,0.038,0.382087514
IPMK,1.038460478,1.705462424,0.038,0.382087514
C11orf98,-0.655308574,3.57742442,0.038,0.382240377
CRLF1,-0.729141643,4.010748708,0.038,0.382240377
CFL1P1,1.927328744,-2.518690948,0.039,0.382425638
TMPRSS9,0.859232078,0.861533206,0.039,0.382842855
CHMP2A,-0.620175282,6.111440492,0.039,0.383106532
OLFM1,-0.663079847,3.690046135,0.039,0.383106532
ZNF511,-0.604800158,4.615933897,0.039,0.383106532
B3GNT7,1.005726628,0.245741035,0.039,0.383106532
SIK3,0.622330493,4.496558728,0.039,0.383106532
ACER3,0.69958112,1.734068424,0.039,0.383106532
CIDEC,1.452501414,3.40011565,0.039,0.383489262
ADGRD1,0.662953034,3.22724732,0.039,0.383489262
SPC25,2.358066261,-2.832130489,0.039,0.383489262
LOC101926911,1.623525732,-2.719375641,0.039,0.384242412
PELI3,-0.728917783,4.123758975,0.039,0.384706946
EXT1,0.686073544,3.082649656,0.039,0.384706946
PCAT5,2.575184683,-2.27976483,0.039,0.385371039
GDF15,1.004012304,-0.617581068,0.039,0.385371039
MRPL47,-0.576697858,3.83409443,0.039,0.385431415
PLSCR1,0.700275056,2.758321218,0.039,0.385431415
TOM1,-0.669784294,7.187823149,0.039,0.385431415
C6,1.073028167,0.900484289,0.039,0.385431415
WDR87,2.57213327,-1.201081439,0.039,0.385431415
FXYD5,0.993920161,2.252061127,0.039,0.385431415
COBLL1,0.792453698,2.677978737,0.039,0.385431415
ANGPT2,0.923950779,1.844869389,0.039,0.385431415
SRCIN1,1.484237544,-0.187914744,0.039,0.385431415
SLC10A1,1.962312733,-2.797804532,0.039,0.385463876
OAS1,0.722788434,0.975648623,0.039,0.385571658
MMP21,1.596757997,-2.141598712,0.04,0.385754431
COL19A1,1.757568589,1.811846117,0.04,0.385754431
GPR18,2.132482966,-3.140505947,0.04,0.385754431
TMEM219,-0.554565864,5.042998789,0.04,0.385754431
ZNF296,1.286683,-0.910802537,0.04,0.386524707
USP43,1.98030064,-1.888541962,0.04,0.386524707
GOLGA2P9,2.529902935,-2.736381776,0.04,0.386524707
RFX2,0.759719266,1.255979946,0.04,0.386524707
RAB27A,0.784161882,1.36117467,0.04,0.386524707
LOC102467217,3.648739907,-3.133234489,0.04,0.386524707
MYH13,-1.361752508,7.375429963,0.04,0.386564679
PHLPP2,0.837453732,1.821386318,0.04,0.386888396
LOC101928985,3.231299468,-2.580206172,0.04,0.386888396
CDRT7,2.977106094,-3.770875406,0.04,0.386888396
INTS6,1.008576294,3.434199639,0.04,0.386888396
HAS2,1.408711743,0.360734409,0.04,0.386993405
DZIP1,0.737829076,2.191335724,0.04,0.387040674
OR2V2,3.594870131,-3.59712421,0.04,0.387479957
OR2H2,3.065112247,-3.847219152,0.04,0.387479957
TSSC1,-0.484512387,3.078566491,0.04,0.38751669
BOLA1,-0.796292299,4.061902162,0.04,0.388238609
PABPC1P2,3.120824116,-1.882708607,0.04,0.388305145
TMEM229A,2.904490295,-2.215464488,0.04,0.388305145
ATP8B1,0.669260201,2.353071816,0.04,0.388305145
LCNL1,-1.349257321,0.466425426,0.04,0.38946894
DCDC5,2.891912911,-2.086956658,0.04,0.389523057
SOD1,-0.560230721,6.763460303,0.04,0.389523057
PAG1,0.737317631,2.073853705,0.041,0.389657562
CETN2,-0.588902391,3.697097786,0.041,0.389657562
NCR1,2.055698883,-2.304955559,0.041,0.389657562
TMEM100,1.06300405,1.824062004,0.041,0.389868716
URI1,-0.476592315,5.57756468,0.041,0.389911608
TEKT4P2,-0.718029941,3.466961865,0.041,0.389911608
PCAT1,2.256947864,-3.174633914,0.041,0.39007815
SERTAD4,0.91391305,-0.030483896,0.041,0.390375883
LINC00550,2.862790234,-2.269216637,0.041,0.390375883
GLB1L,0.72786112,0.255397702,0.041,0.390375883
UNG,-0.476549722,4.703804957,0.041,0.390375883
AGMAT,-0.865569233,6.041621396,0.041,0.390375883
LOC101928540,2.705910944,-3.776166967,0.041,0.390375883
ZNF681,1.472484614,-1.279151888,0.041,0.390375883
LINC01456,3.574609269,-4.36843731,0.041,0.390375883
FCGR2C,0.680634775,2.073927787,0.041,0.390375883
ABCG2,1.003503623,-0.577363275,0.041,0.390375883
ANAPC11,-0.796423574,7.108866203,0.041,0.390375883
LOC102800447,3.025763772,-3.80698686,0.041,0.390375883
CYLC2,3.226998721,-2.23183194,0.041,0.390375883
C6orf226,-0.703804727,1.984926765,0.041,0.390375883
REM2,1.363110295,-0.953511008,0.041,0.390375883
BMPR1B,0.85311902,1.223875059,0.041,0.390375883
BECN1,-0.492173846,5.742779708,0.041,0.390470716
ADM,1.156397188,4.090600433,0.041,0.390628975
PDPR,0.636782687,5.303905826,0.041,0.390890349
KDM8,-0.621907444,1.983345733,0.041,0.390936579
HMBS,-0.808423769,4.884550682,0.041,0.391011076
MYO1H,1.603793059,-2.027439487,0.041,0.391108734
LINC00493,-0.861355996,4.797368925,0.041,0.391108734
FGF14,1.238587663,-1.13875546,0.041,0.391564037
EIF2AK1,-0.652219349,6.461726335,0.041,0.391792918
LOC101928489,1.580551277,-1.961187992,0.041,0.391792918
KCNK1,1.231902471,-1.392689852,0.042,0.392150063
CKS2,1.824163158,0.784689692,0.042,0.392150063
LOC101928035,3.068899051,-4.014632528,0.042,0.392150063
LINC01221,3.948281164,-4.358914736,0.042,0.392197742
EREG,1.539309092,-1.352465273,0.042,0.393094842
NDUFB11,-0.850053735,8.068321733,0.042,0.393094842
NARF,-0.5173323,5.214078599,0.042,0.393094842
ZC3HC1,-0.558548492,4.229913597,0.042,0.394493677
ADGRE2,0.889201893,0.35795481,0.042,0.394942177
UFC1,-0.563445207,4.701670979,0.042,0.395290615
HOMER1,-0.676078025,4.458320725,0.042,0.395509883
HDDC2,-0.622125253,4.74636032,0.042,0.395509883
HIST1H3A,3.377380491,-3.31577833,0.042,0.39563405
TNNT3,-0.86172713,12.97810977,0.042,0.39567541
ZNF670-ZNF695,1.338847944,-2.495782967,0.042,0.395739937
GSR,-0.522544929,4.391507686,0.042,0.395739937
NDRG4,-0.593880354,3.369974877,0.042,0.395739937
TERC,-1.663294603,-2.543115287,0.042,0.395739937
FANCB,1.790385289,-2.599041967,0.042,0.395739937
FFAR4,1.565691193,-1.322754507,0.042,0.395835536
MGAM2,2.730210591,-2.039577216,0.042,0.395835536
LRRTM4,1.311683822,0.51534445,0.042,0.395835536
INHBA,1.044266469,1.453261193,0.042,0.395835536
LOC403312,2.701842852,-1.956986662,0.042,0.395835536
KLLN,1.079826192,-0.867265964,0.042,0.39589694
DZANK1,0.845335896,-0.520170895,0.043,0.396284263
RGS9BP,-1.248287421,4.658156542,0.043,0.396284263
RIIAD1,-1.297615754,-1.45390447,0.043,0.396439918
ARL2-SNX15,-0.477608877,5.540785846,0.043,0.396439918
PLAU,0.738926563,3.517995108,0.043,0.39672875
SPDYE8P,0.783997314,1.421382251,0.043,0.396731708
SLC25A19,-0.539236906,2.343250518,0.043,0.396731708
BMS1P6,0.712872894,2.442224976,0.043,0.397670493
ZFYVE19,-0.585279821,4.124853265,0.043,0.397781409
CTAGE1,2.044525898,-2.011645294,0.043,0.398079733
MTIF3,-0.653893672,4.676079671,0.043,0.398079733
SPACA4,3.276208468,-3.365863659,0.043,0.398079733
SIPA1L1,0.680581454,2.316996452,0.043,0.398745303
SLC2A10,0.596029602,1.192636939,0.043,0.398745303
PGK1,-0.561277167,8.024621174,0.043,0.398745303
GIF,2.767419677,-3.864213528,0.043,0.398745303
MYH8,-1.300658936,8.87424495,0.043,0.398745303
LOC101928098,2.572642098,-3.087400844,0.043,0.398745303
FRMD4A,0.626761196,3.341220398,0.043,0.398745303
LINC01397,2.676755312,-3.862874659,0.043,0.398745303
LIPE,0.868382397,4.47761578,0.043,0.398745303
TRIM49D2,3.168457564,-2.210419784,0.043,0.398745303
PGM1,-0.718462065,10.0175591,0.043,0.398745303
HRH4,1.860325262,-2.214923758,0.043,0.398770111
LOC646241,3.174025319,-3.160330958,0.043,0.398935486
LOC101927587,2.856961117,-2.488824317,0.043,0.399347147
CTD-2201I18.1,1.355870487,1.810421061,0.043,0.399388925
RAPGEF4,0.977463519,0.788568465,0.044,0.399949487
RUNX1,1.063510322,2.850937938,0.044,0.399949487
C5,0.901461393,0.225150311,0.044,0.399949487
TRIM49D1,3.160925354,-2.218266405,0.044,0.399949487
LOC100508046,2.664128712,-2.007097412,0.044,0.399949487
LOC101928885,2.693642519,-3.363094031,0.044,0.399949487
UCHL1,-1.11850396,3.745846632,0.044,0.399949487
R3HDM4,-0.557912711,4.727154382,0.044,0.399949487
MAP9,1.136405725,0.229660941,0.044,0.399949487
MIF4GD,-0.495522356,3.953295015,0.044,0.399949487
LOC100190986,0.570362201,3.633588959,0.044,0.399949487
COQ2,-0.571866671,4.069126245,0.044,0.399949487
KNTC1,0.893784286,1.001882651,0.044,0.399949487
SAXO1,1.864480437,-1.410422667,0.044,0.399949487
LOC105369860,3.293772447,-3.72958592,0.044,0.399949487
FPR1,-1.137633695,-0.788802682,0.044,0.399949487
GP6,1.711437251,-1.333250789,0.044,0.399949487
EIF2S2,-0.526712452,6.143378498,0.044,0.399949487
LINC00461,2.281712495,-2.075275465,0.044,0.399949487
HIST1H2AH,2.58441416,-3.779661186,0.044,0.399949487
DHRS7,-0.650142669,6.800114987,0.044,0.399949487
CHST8,1.744397761,-0.375160404,0.044,0.399949487
HAGH,-0.831485011,7.45564989,0.044,0.400315121
C4orf3,-0.541018227,6.394976453,0.044,0.401126738
NMUR2,2.467268425,-2.74666132,0.044,0.401126738
AKR1C3,-0.615284938,3.787046786,0.044,0.401126738
LRRC70,1.520887034,-1.381071456,0.044,0.401306515
REXO2,-0.556306989,4.553303215,0.044,0.401306515
PRH1-TAS2R14,-0.642561824,2.629529042,0.044,0.401306515
SLC9A1,0.793599178,3.613813512,0.044,0.401663661
MNAT1,-0.574225061,4.47858109,0.044,0.401663661
SLC37A4,-0.689093355,5.74611889,0.044,0.401663661
MGC34796,2.728518544,-3.16327639,0.044,0.401663661
HSPB9,-1.094089074,-1.085114052,0.045,0.402400655
CADM3,0.865639258,3.187951231,0.045,0.402400655
MYEOV2,-0.861954462,6.090897195,0.045,0.402400655
KRTAP6-3,3.790741004,-3.969632772,0.045,0.403262588
ARNTL2,1.081316322,-0.38422984,0.045,0.403362981
ENPP2,0.853605968,2.985412146,0.045,0.40454135
CUBN,1.023493017,0.59285002,0.045,0.40454135
LOC339059,2.269451228,-2.110222739,0.045,0.40454135
GSDMA,1.758057179,-2.141941733,0.045,0.40454135
BTG3,1.062857783,1.654134868,0.045,0.40454135
STBD1,-0.628462279,7.630624256,0.045,0.40454135
NAV3,0.935829213,1.092838066,0.045,0.40454135
ALDH1L2,0.704763406,1.271540228,0.045,0.40454135
ZBTB21,0.96329376,1.886728412,0.045,0.40454135
SPATA5,0.633159087,1.457824616,0.045,0.40454135
MRPL57,-0.503310501,4.888566898,0.045,0.40454135
CWC15,-0.710823126,5.550874598,0.045,0.40454135
NOMO3,-0.588588093,7.021326329,0.045,0.40454135
UBTD1,-0.803275067,4.934708006,0.045,0.40454135
IFI30,0.721627362,1.506578969,0.045,0.40454135
FMNL2,0.562798637,4.00038052,0.045,0.40454135
PRMT3,-0.464486189,2.532433404,0.045,0.404720746
LOC101927692,2.245199564,-2.078557632,0.045,0.405336885
NTPCR,-0.714114313,3.868815251,0.046,0.405336885
DHRS7B,-0.570293412,4.514033141,0.046,0.405336885
TBCB,-0.481740266,4.602398547,0.046,0.405336885
C3orf58,0.834999846,3.241748364,0.046,0.405336885
KRT222,1.757957229,-1.602024586,0.046,0.405336885
WRB-SH3BGR,-0.67146925,8.15591856,0.046,0.405336885
LOC101928580,2.417989482,-2.515331435,0.046,0.405361069
RWDD1,-0.831285099,5.254860441,0.046,0.405383586
NKIRAS1,-0.457841558,3.854631283,0.046,0.405383586
ABCA1,0.648091961,4.784293471,0.046,0.405727584
CASC20,2.966838401,-2.774984148,0.046,0.406086042
RTN4IP1,-0.567054002,3.510379727,0.046,0.40643211
SPATA6L,1.406922546,-2.100618848,0.046,0.406834704
