identifier,logFC,logCPM,p-Value,FDR
OR5W2,4.7265578,-4.034222087,0.005,0.220112623
REG4,4.716950912,-3.248112285,0.006,0.223187079
CD5L,4.715754622,-3.436766016,0.003,0.2032697
LINC01514,4.695118204,-3.422075655,0.003,0.2032697
LOC105376331,4.686444923,-3.195600247,0.004,0.2032697
LOC102723557,4.682322296,-3.587547464,0.003,0.2032697
PISRT1,4.680646281,-3.264737528,0.009,0.246209156
HIGD2B,4.678952777,-3.065083804,0.004,0.2032697
PAGE1,4.651085245,-4.176074431,0.009,0.246916598
MMP26,4.617854609,-2.978627988,0.008,0.241718871
LOC101928602,4.605989243,-4.071180098,0.006,0.222452354
LOC102723895,4.599018056,-3.221325674,0.004,0.209322496
ACTR3BP2,4.595433051,-3.166530315,0.002,0.191234855
LOC101927363,4.591042584,-4.131528265,0.007,0.228342038
HNRNPKP3,4.587105943,-2.91570562,0.002,0.194545554
LOC101927188,4.585956822,-2.991988198,0.003,0.2032697
DISC1-IT1,4.584474119,-4.025042766,0.006,0.226755812
LOC102467222,4.572392333,-4.210727002,0.009,0.244562119
FAM9B,4.547541073,-3.34470125,0.008,0.24169571
GLOD5,4.538171447,-3.594514456,0.003,0.2032697
C2orf48,4.533379047,-3.07450861,0.002,0.191234855
LOC100288254,4.532702036,-2.038787204,0.005,0.219690747
FRG2,4.527550119,-3.245853002,0.004,0.2032697
GACAT3,4.526733242,-4.144513975,0.01,0.253219777
FOXCUT,4.499383069,-2.793297467,0.002,0.191234855
LOC101927357,4.479021438,-1.720746073,0.005,0.220112623
LOC101929260,4.47837616,-3.084886226,0.006,0.225551985
OR13C2,4.47245033,-3.538380778,0.004,0.209322496
LOC101929754,4.471824967,-2.702259313,0.01,0.258231456
LOC146513,4.466134715,-2.547153519,0.004,0.209322496
OR2AT4,4.458024122,-3.530956074,0.007,0.230796247
PBOV1,4.455063419,-2.228601085,0.002,0.191234855
TFDP3,4.448246661,-2.245636883,0.005,0.214360055
LOC101929420,4.445916491,-2.772219312,0.007,0.228197549
HRAT17,4.435445352,-3.895820633,0.002,0.194545554
OR6W1P,4.418594227,-2.718156071,0.008,0.24169571
SSX9,4.416347314,-4.237970871,0.01,0.257775321
SSX3,4.402413125,-3.555297893,0.005,0.220112623
HMGA1P7,4.39267584,-2.896862855,0.007,0.228342038
LINC00374,4.390089133,-3.420606857,0.004,0.209322496
LINC01288,4.377496935,-4.126872831,0.007,0.234044931
LINC00836,4.30375335,-3.2434737,0.005,0.219690747
LINC01320,4.300607147,-3.599284186,0.009,0.25147152
TRIM64,4.285896474,-3.357143015,0.008,0.241718871
SDR16C6P,4.27919588,-4.19390768,0.007,0.232419709
LOC729966,4.275464016,-3.165300722,0.002,0.191234855
LOC105375014,4.274709692,-3.93000311,0.003,0.2032697
LINC01441,4.243473256,-2.953112051,0.007,0.240346411
SCNN1G,4.238698884,-2.284496003,0.002,0.191234855
C7orf69,4.228341353,-3.589554605,0.002,0.194545554
OPN1LW,4.222815246,-3.308915222,0.009,0.250483329
KRTAP5-4,4.221501084,-3.320988854,0.005,0.218790221
ANKUB1,4.218652698,-2.890976912,0.004,0.210678648
TMEM213,4.21003662,-1.657513167,0.004,0.210678648
TFAP2D,4.206059347,-2.125225231,0.007,0.230479832
DANT2,4.183777688,-3.079238114,0.006,0.224403055
LOC101927419,4.15661669,-3.102215666,0.003,0.2032697
TXNDC2,4.152118867,-2.116835464,0.002,0.191234855
OR11A1,4.127587318,-3.347882807,0.006,0.225551985
LINC01317,4.117388433,-3.536189077,0.01,0.253219777
LOC101805491,4.116321835,-4.280322958,0.01,0.253657854
LOC286083,4.105969275,-2.803292032,0.006,0.222452354
LOC101929563,4.102376287,-2.084531087,0.002,0.191234855
LINC01216,4.085321831,-3.640308114,0.007,0.230479832
LINC01163,4.054576835,-2.509719554,0.008,0.244562119
LOC101927166,4.049967435,-3.444628899,0.005,0.219283285
PHOX2B,4.047982949,-2.233599677,0.004,0.2032697
LOC102467081,4.044187009,-3.68649412,0.007,0.228197549
CT45A6,4.043864818,-0.987236073,0.009,0.244562119
SND1-IT1,4.03455002,-2.398938414,0.005,0.213494479
SSX4B,4.014507941,-2.616602381,0.004,0.207730819
SSX4,4.002282059,-2.626627087,0.004,0.209322496
SULT1E1,3.993254716,-3.583391962,0.004,0.209322496
NOL4,3.975578884,-1.97360239,0.004,0.2032697
ZNF716,3.97086023,-1.655446484,0.004,0.210678648
SUMO1P1,3.954420194,-2.847897994,0.006,0.226755812
LOC440896,3.953961284,-1.027459733,0.003,0.2032697
G6PC,3.951319833,-1.909397736,0.006,0.220290323
MIR31HG,3.949199121,-2.973081879,0.005,0.210861949
LOC101929259,3.948110647,-1.918965124,0.009,0.252179214
HTR3C,3.928968901,-3.771685287,0.003,0.2032697
LOC730100,3.928604134,-2.349719562,0.008,0.241718871
MAB21L3,3.915753561,-2.703379066,0.004,0.209322496
IL6,3.909556329,2.070531022,0.004,0.2032697
MIP,3.90922086,-2.070496739,0.003,0.2032697
TRIM64B,3.90589378,-2.845865946,0.004,0.210321752
CNGB1,3.904536242,-1.385296941,0.003,0.2032697
LINC01531,3.900592488,-1.371304249,0.004,0.209322496
FOXL2NB,3.894447468,-1.576624333,0.003,0.2032697
CXCL8,3.879031161,1.316547466,0.005,0.211864668
SLC15A1,3.876548479,-2.879823991,0.003,0.2032697
GABRB1,3.876507309,-2.751566879,0.006,0.225551985
LINC00862,3.864784505,-2.969823055,0.007,0.237835159
ZPBP2,3.842745554,-3.019031127,0.006,0.225551985
LOC101928992,3.834598299,-2.375085848,0.01,0.253219777
DPPA4,3.820561416,-2.849600615,0.004,0.210678648
POU2F3,3.820141155,-2.341532644,0.005,0.217960803
NUTM1,3.819669785,-2.067281335,0.004,0.209322496
LOC105372440,3.806455927,-3.594496473,0.009,0.246145249
SELE,3.806162441,1.316738986,0.003,0.2032697
GPR143,3.80539312,-3.379794289,0.002,0.194174118
FSTL5,3.773546136,-2.651357379,0.009,0.253219777
AXDND1,3.766475976,-1.876401666,0.003,0.2032697
LINC01619,3.759344206,-1.503203003,0.004,0.2032697
SAMD7,3.731851337,-3.264259697,0.003,0.2032697
LOC100131257,3.718251767,-0.732632384,0.008,0.241290484
ABCC13,3.708022381,-3.161058976,0.009,0.25147152
C17orf78,3.703789831,-3.316418454,0.004,0.210321752
CRX,3.691059159,-1.763082098,0.005,0.210861949
