node	type
C2750246	disease
C4552043	disease
C1970431	disease
C0023012	disease
C0023014	disease
C0241210	disease
C0454655	disease
C0751257	disease
C1510586	disease
C0038131	disease
C0038506	disease
C0454542	disease
C0751527	disease
C0751528	disease
C0751529	disease
C3489627	disease
C0751217	disease
C3887506	disease
388753.0	gene
C4225304	disease
C1858424	disease
1690.0	gene
C1832425	disease
1303.0	gene
C0410179	disease
C1834674	disease
C4225313	disease
C4225314	disease
C3280240	disease
1310.0	gene
10987.0	gene
C0014518	disease
C0038325	disease
C1274933	disease
C3658301	disease
C3658302	disease
27235.0	gene
C3551954	disease
C3714927	disease
C0270733	disease
C1843920	disease
C0393571	disease
C4746986	disease
10391.0	gene
84987.0	gene
C0268237	disease
10063.0	gene
C0019189	disease
C0149519	disease
C0520463	disease
C0524611	disease
1327.0	gene
C0751651	disease
1329.0	gene
1340.0	gene
1351.0	gene
C0001969	disease
1373.0	gene
C4082171	disease
C0031190	disease
C0751753	disease
C0376618	disease
C0220994	disease
C4085580	disease
C0032927	disease
C0282313	disease
C0009421	disease
C0860634	disease
C3714958	disease
DB06775	drug
1374.0	gene
C1829703	disease
C0011849	disease
9586.0	gene
C0000809	disease
9244.0	gene
C0014848	disease
C0859976	disease
1406.0	gene
C3151192	disease
C3540662	disease
1407.0	gene
C0023473	disease
C0085159	disease
C0393770	disease
C0494410	disease
C0751758	disease
C0751759	disease
C0751760	disease
C0877792	disease
1419.0	gene
C3808800	disease
C0266539	disease
C1855179	disease
1437.0	gene
C0024302	disease
C0024304	disease
C0024305	disease
C0024306	disease
C0079740	disease
C0079741	disease
C0079747	disease
C0079757	disease
C0079770	disease
C3714542	disease
C4721532	disease
C0205944	disease
C0205945	disease
C1261473	disease
C0001824	disease
C0002871	disease
C0017181	disease
C0018932	disease
C0002874	disease
C0178416	disease
C0242594	disease
C0242596	disease
C0543478	disease
C0015423	disease
C0023290	disease
C2931245	disease
C3808553	disease
C3810350	disease
C0349639	disease
C0085090	disease
C0042487	disease
C0149871	disease
C0333355	disease
C0040034	disease
C0151786	disease
C0002622	disease
C0233750	disease
C0233796	disease
C0236795	disease
C0262497	disease
C0750906	disease
C0750907	disease
1441.0	gene
C0023518	disease
C0151857	disease
C0340970	disease
C0543669	disease
C4310764	disease
C0023481	disease
C1292772	disease
C3463824	disease
1491.0	gene
C0220993	disease
C0268616	disease
C3495552	disease
C0035320	disease
C4017108	disease
C0015934	disease
8029.0	gene
C1306856	disease
C4551825	disease
C0002888	disease
80157.0	gene
1525.0	gene
2919.0	gene
C0036982	disease
C0024117	disease
C1527303	disease
10563.0	gene
2920.0	gene
2921.0	gene
C1135196	disease
3576.0	gene
C0002965	disease
C0086666	disease
C0030200	disease
C0032768	disease
C0030805	disease
C0015967	disease
C0004763	disease
C1258085	disease
C0013080	disease
C0432416	disease
C0432417	disease
C0751081	disease
C0006625	disease
C0344315	disease
C0014869	disease
C0017168	disease
C0162848	disease
C0013604	disease
C0151603	disease
C0011206	disease
C0015404	disease
C0022568	disease
C0038160	disease
C1318973	disease
C0155862	disease
C0019202	disease
C1527352	disease
C0019187	disease
C0524610	disease
C0029172	disease
C0036118	disease
3579.0	gene
C0024894	disease
C3850148	disease
C3852953	disease
DB12614	drug
DB12135	drug
DB11922	drug
1536.0	gene
C1844376	disease
C0018203	disease
C3661525	disease
C1970859	disease
C0393953	disease
C0751952	disease
C0751953	disease
C0751954	disease
C0751955	disease
C0033687	disease
C1863999	disease
1544.0	gene
C0162566	disease
C0025637	disease
C0809983	disease
1593.0	gene
C0238052	disease
C0036572	disease
C0393720	disease
C0005944	disease
C0029453	disease
1555.0	gene
C0206726	disease
C0036349	disease
C0349204	disease
C1861063	disease
C3281153	disease
1562.0	gene
23500.0	gene
C0001787	disease
C0029456	disease
C0029459	disease
C0751406	disease
164781.0	gene
138009.0	gene
123879.0	gene
1641.0	gene
C4551968	disease
C0265219	disease
C0431375	disease
C1848199	disease
C1848201	disease
C1955870	disease
1672.0	gene
8214.0	gene
C0012236	disease
C0220704	disease
C0795907	disease
51635.0	gene
27185.0	gene
C0236792	disease
C0005587	disease
C0011757	disease
C0026613	disease
C0003469	disease
C0011573	disease
C0025193	disease
C0086133	disease
C0282126	disease
C0376280	disease
C1279420	disease
10395.0	gene
1747.0	gene
C0399373	disease
C1863012	disease
C0265333	disease
1750.0	gene
C0265554	disease
C1857344	disease
C2931019	disease
1758.0	gene
C4551495	disease
C0029410	disease
C0342643	disease
C1832708	disease
C3554446	disease
C3809104	disease
1767.0	gene
C1837618	disease
C0006267	disease
C0266642	disease
C4551720	disease
1769.0	gene
C1456784	disease
3337.0	gene
C0334287	disease
374407.0	gene
C0022521	disease
C4310722	disease
C4317124	disease
C4551906	disease
131118.0	gene
C1857776	disease
C4039473	disease
55619.0	gene
54344.0	gene
C2752007	disease
C0686353	disease
C4510743	disease
1803.0	gene
DB08882	drug
DB04876	drug
DB11992	drug
DB01261	drug
DB06335	drug
DB06203	drug
DB15323	drug
DB11950	drug
1824.0	gene
C1864850	disease
92126.0	gene
1829.0	gene
C1857777	disease
C0340427	disease
C2752072	disease
1847.0	gene
79659.0	gene
C0036069	disease
C0432197	disease
C0024507	disease
C0036996	disease
C0265275	disease
1870.0	gene
1893.0	gene
C0023795	disease
345930.0	gene
60401.0	gene
C0162359	disease
10085.0	gene
1942.0	gene
1946.0	gene
1948.0	gene
C0265780	disease
C0456891	disease
C4082952	disease
C4547080	disease
23741.0	gene
C0025500	disease
27102.0	gene
C0002878	disease
C0002879	disease
C0002889	disease
C0221021	disease
9451.0	gene
C0432217	disease
C0038868	disease
C4551862	disease
C4551863	disease
C0158981	disease
8894.0	gene
9775.0	gene
C1849348	disease
C0009081	disease
C0013336	disease
C0018564	disease
C0031900	disease
C0152423	disease
C0158489	disease
C0349588	disease
C0685786	disease
C2919142	disease
1993.0	gene
1995.0	gene
2000.0	gene
9844.0	gene
C0279628	disease
79071.0	gene
133418.0	gene
2012.0	gene
387712.0	gene
5167.0	gene
C1865343	disease
C4551985	disease
C2750078	disease
C3809781	disease
C0033847	disease
C1859727	disease
5168.0	gene
C0019158	disease
DB15403	drug
2042.0	gene
C0149782	disease
C1335302	disease
DB05294	drug
2045.0	gene
C0019080	disease
2067.0	gene
C0015625	disease
C0043346	disease
C0220722	disease
C1853100	disease
C1859312	disease
C2931277	disease
C0039590	disease
C0153594	disease
C1720811	disease
C2931822	disease
C0007873	disease
C4048328	disease
C0001956	disease
C0751038	disease
C0004403	disease
C0008625	disease
2069.0	gene
C0162568	disease
C0349426	disease
54206.0	gene
11082.0	gene
9700.0	gene
C0036095	disease
C0220636	disease
2119.0	gene
2131.0	gene
C0008479	disease
C0015306	disease
C0023003	disease
C0029463	disease
2146.0	gene
C0001815	disease
C1301355	disease
C2713368	disease
C0265210	disease
C1860789	disease
C0024301	disease
C0079745	disease
C0079758	disease
C0079765	disease
C1956130	disease
C1956131	disease
C1956132	disease
C0010278	disease
C0030044	disease
C0221356	disease
C0265534	disease
C0265535	disease
C0749794	disease
C1833340	disease
C1860819	disease
C2931150	disease
C4551902	disease
C0333704	disease
C0376628	disease
C0023480	disease
C0079731	disease
C0280100	disease
C1332201	disease
DB12887	drug
2165.0	gene
C2750481	disease
C0015530	disease
C4016042	disease
81889.0	gene
2187.0	gene
C1845292	disease
C1848599	disease
C2931228	disease
C4228778	disease
C0278996	disease
C1848600	disease
C2749240	disease
C3495676	disease
C0023465	disease
C0030312	disease
C1855710	disease
C3468041	disease
2194.0	gene
C0023827	disease
C0205824	disease
C0205825	disease
C1370889	disease
C0086132	disease
C0007193	disease
C1449563	disease
C4551472	disease
2200.0	gene
C0024796	disease
C3541518	disease
C4707243	disease
C1858556	disease
C1869115	disease
C4310796	disease
C4721845	disease
C1321551	disease
C0003496	disease
C0741160	disease
C0265287	disease
C1861456	disease
C3280054	disease
C4016054	disease
C3489726	disease
C0162872	disease
C0340630	disease
C0003706	disease
C0013581	disease
C0265313	disease
C1851286	disease
C1869114	disease
C2746069	disease
C2931588	disease
2209.0	gene
338557.0	gene
C2675659	disease
2244.0	gene
C2584774	disease
C0272350	disease
C0001733	disease
C4316812	disease
2259.0	gene
C0007302	disease
C0085700	disease
C1836383	disease
C0598589	disease
26291.0	gene
C0011854	disease
C0205734	disease
C0342302	disease
C3837958	disease
C4554117	disease
2254.0	gene
C0175700	disease
C0342282	disease
C2751826	disease
2274.0	gene
9158.0	gene
C4310715	disease
51024.0	gene
C0600519	disease
C0600520	disease
C2931673	disease
28982.0	gene
C1836916	disease
252995.0	gene
C0553980	disease
2296.0	gene
C0265341	disease
C0266548	disease
C0344559	disease
C2678503	disease
C1839928	disease
C3714873	disease
C0003076	disease
C3495488	disease
C0010964	disease
C0087012	disease
C0752120	disease
C0752121	disease
C0752122	disease
C0752123	disease
C0752124	disease
C0752125	disease
C3887633	disease
C4310809	disease
C0038454	disease
C0017612	disease
C0271148	disease
C0339573	disease
C1866560	disease
2290.0	gene
